Designator,Mid X,Mid Y,Rotation,Layer
S1,108.0,-62.3625,0.0,top
S10,180.0,-79.3625,0.0,top
S11,108.0,-101.6375,180.0,top
S12,126.0,-99.5125,180.0,top
S13,180.0,-101.6375,180.0,top
S14,162.0,-99.1375,180.0,top
S15,144.0,-96.6375,180.0,top
S16,144.0,-87.1625,0.0,bottom
S17,180.0,-92.1625,0.0,bottom
S18,162.0,-89.6625,0.0,bottom
S2,126.0,-60.2375,0.0,top
S3,144.0,-57.3625,0.0,top
S4,162.0,-59.8625,0.0,top
S5,180.0,-62.3625,0.0,top
S6,108.0,-79.3625,0.0,top
S7,126.0,-77.2375,0.0,top
S8,144.0,-74.3625,0.0,top
S9,162.0,-76.8625,0.0,top
U2,197.41,-96.63,225.0,top
U3,197.41,-96.63,315.0,bottom
